ASC_074A.Earth.Latitude   ASC_074A.Earth.Longitude   ASC_074A.UTCGregorian      ASC_074A.Earth.Altitude   ASC_074B.Earth.Latitude   ASC_074B.Earth.Longitude   ASC_074B.Earth.Altitude   ASC_074B.UTCGregorian      ASC_074C.Earth.Latitude   ASC_074C.Earth.Longitude   ASC_074C.Earth.Altitude   ASC_074C.UTCGregorian      
0.1494966742239341        79.30475126801475          03 Jul 2026 00:00:00.000   536.0001444287263         -0.07323134912892791      -160.6953287475017         536.0000346565503         03 Jul 2026 00:00:00.000   -0.07626520263617774      -40.69516194542925         536.0000375875561         03 Jul 2026 00:00:00.000   
3.058441070056            81.48300162760681          03 Jul 2026 00:01:00.000   536.0400878631681         2.830317846804237         -158.5109425355112         536.0309363595788         03 Jul 2026 00:01:00.000   2.838258660011668         -38.52376460137324         536.0313308670529         03 Jul 2026 00:01:00.000   
7.368975908981121         84.74782966615004          03 Jul 2026 00:02:29.161   536.2240627568144         7.13357963560854          -155.2388012633384         536.1992726341514         03 Jul 2026 00:02:29.161   7.157913012719404         -35.27088299776042         536.2021012470632         03 Jul 2026 00:02:29.161   
11.84463384055943         88.23930351406752          03 Jul 2026 00:04:02.429   536.5666256496988         11.60257193117168         -151.742115556891          536.5232591320328         03 Jul 2026 00:04:02.429   11.64426878409225         -31.79418467228157         536.5308278067496         03 Jul 2026 00:04:02.429   
16.28594306967208         91.87664352307661          03 Jul 2026 00:05:36.163   537.0471639878906         16.03818494993696         -148.1022896003883         536.9835801867357         03 Jul 2026 00:05:36.163   16.0976776730651          -28.17411056074357         536.9978736943867         03 Jul 2026 00:05:36.163   
20.64809546163048         95.69998687394239          03 Jul 2026 00:07:09.958   537.6384492922825         20.39573257482916         -144.2795789997164         537.5538279401353         03 Jul 2026 00:07:09.958   20.47349638959297         -24.37056379020688         537.5764234916824         03 Jul 2026 00:07:09.958   
24.9000317014696          99.76782528465615          03 Jul 2026 00:08:43.769   538.3074998008187         24.64431861150766         -140.2159847037029         538.2017344437372         03 Jul 2026 00:08:43.769   24.74091850780871         -20.32512807019624         538.2337392220015         03 Jul 2026 00:08:43.769   
29.00773327587306         104.1464489393215          03 Jul 2026 00:10:17.591   539.0165141939733         28.75017354512905         -135.8458420127868         538.8901291168359         03 Jul 2026 00:10:17.591   28.86623604947932         -15.97152172510734         538.9321340333408         03 Jul 2026 00:10:17.591   
32.93092390265451         108.9086974696261          03 Jul 2026 00:11:51.425   539.7244698102022         32.67338145908861         -131.0970532730271         539.5785224767187         03 Jul 2026 00:11:51.425   32.80953106194298         -11.23674210258376         539.6305809669111         03 Jul 2026 00:11:51.425   
36.62116408875096         114.1321482142925          03 Jul 2026 00:13:25.276   540.3889579360693         36.36599868019754         -125.8928298901168         540.2249301515421         03 Jul 2026 00:13:25.276   36.52274862043482         -6.042723112975776         540.2865652963355         03 Jul 2026 00:13:25.276   
40.02015540656851         119.8941788889926          03 Jul 2026 00:14:59.141   540.9680785973633         39.77037330016901         -120.1564645165804         540.7877640720644         03 Jul 2026 00:14:59.141   39.94795137218779         -0.3110550308153102        540.8580046449133         03 Jul 2026 00:14:59.141   
43.05905314671094         126.2625786696721          03 Jul 2026 00:16:33.021   541.4223795347243         42.81844546846756         -113.8204104399915         541.2277722061699         03 Jul 2026 00:16:33.021   43.01654061039455         6.027881504001569          541.3052175976009         03 Jul 2026 00:16:33.021   
45.65920651434889         133.2794032736597          03 Jul 2026 00:18:06.914   541.7166618671081         45.43241603278441         -106.8419469521119         541.5098497734089         03 Jul 2026 00:18:06.914   45.64984855422205         13.01896841462104          541.5927605341267         03 Jul 2026 00:18:06.914   
47.73589221245523         140.938464385185           03 Jul 2026 00:19:40.814   541.8216290420833         47.52831304530051         -99.22512991135238         541.6046953401301         03 Jul 2026 00:19:40.814   47.76268062580684         20.65976288253744          541.6911048253696         03 Jul 2026 00:19:40.814   
49.20636598350081         149.1617820025354          03 Jul 2026 00:21:14.714   541.7153224393141         49.02377256489314         -91.0440099425587          541.4902532946717         03 Jul 2026 00:21:14.714   49.27119984036986         28.87630840767617          541.5780942326819         03 Jul 2026 00:21:14.714   
50.00198022570891         157.7867564137911          03 Jul 2026 00:22:48.610   541.3842195740408         49.84985393522178         -82.45585308267755         541.1528186477326         03 Jul 2026 00:22:48.610   50.10502963310244         37.50900085502707          541.2400562319517         03 Jul 2026 00:22:48.610   
50.08141291698097         166.57666410869            03 Jul 2026 00:24:22.497   540.8239730269934         49.96409929020943         -73.69202645897931         540.5877838267561         03 Jul 2026 00:24:22.497   50.22073357921217         46.32158616904881          540.6725457690036         03 Jul 2026 00:24:22.497   
49.44025386683523         175.2610041584336          03 Jul 2026 00:25:56.374   540.0397793909078         49.36025936560423         -65.01952941478484         539.8000159430285         03 Jul 2026 00:25:56.374   49.61189811382085         55.04082843452873          539.8807103213976         03 Jul 2026 00:25:56.374   
48.11207725593633         -176.4088000655176         03 Jul 2026 00:27:30.234   539.046358410209          48.06980837071775         -56.68648673103611         538.8038471489817         03 Jul 2026 00:27:30.234   48.31071005526201         63.41304671194299          538.879259207084          03 Jul 2026 00:27:30.234   
46.16047845570959         -168.613903116804          03 Jul 2026 00:29:04.076   537.8675432113841         46.15449665348465         -48.87638633567173         537.6226802789834         03 Jul 2026 00:29:04.076   46.38023416110671         71.25147131661417          537.6920408993929         03 Jul 2026 00:29:04.076   
43.66604677915989         -161.4503496337841         03 Jul 2026 00:30:37.896   536.5354626366579         43.6936508744318          -41.6890563051923          536.2881918235098         03 Jul 2026 00:30:37.896   43.90128733792213         78.45558357479887          536.3512125392936         03 Jul 2026 00:30:37.896   
