Spacecraft: ASC_80_21

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
01 Jan 2026 00:24:29.005    01 Jan 2026 00:24:38.333      9.3276299536    Earth           Penumbra    1             2086.1012349
01 Jan 2026 00:24:38.333    01 Jan 2026 00:59:05.880      2067.5466662    Earth           Umbra       1             2086.1012349
01 Jan 2026 00:59:05.880    01 Jan 2026 00:59:15.107      9.2269386747    Earth           Penumbra    1             2086.1012349
01 Jan 2026 01:59:46.354    01 Jan 2026 01:59:55.681      9.3269717647    Earth           Penumbra    2             2086.1139542
01 Jan 2026 01:59:55.681    01 Jan 2026 02:34:23.242      2067.5608842    Earth           Umbra       2             2086.1139542
01 Jan 2026 02:34:23.242    01 Jan 2026 02:34:32.468      9.2260981794    Earth           Penumbra    2             2086.1139542
01 Jan 2026 03:35:03.676    01 Jan 2026 03:35:13.002      9.3259844813    Earth           Penumbra    3             2076.8896140
01 Jan 2026 03:35:13.002    01 Jan 2026 04:09:40.566      2067.5636295    Earth           Umbra       3             2076.8896140
01 Jan 2026 05:10:21.026    01 Jan 2026 05:10:30.352      9.3251238693    Earth           Penumbra    4             2086.1262998
01 Jan 2026 05:10:30.352    01 Jan 2026 05:44:57.928      2067.5764812    Earth           Umbra       4             2086.1262998
01 Jan 2026 05:44:57.928    01 Jan 2026 05:45:07.153      9.2246947344    Earth           Penumbra    4             2086.1262998
01 Jan 2026 06:45:38.473    01 Jan 2026 06:45:47.798      9.3246627599    Earth           Penumbra    5             2086.1563238
01 Jan 2026 06:45:47.798    01 Jan 2026 07:20:15.405      2067.6074616    Earth           Umbra       5             2086.1563238
01 Jan 2026 07:20:15.405    01 Jan 2026 07:20:24.629      9.2241993640    Earth           Penumbra    5             2086.1563238
01 Jan 2026 08:20:55.986    01 Jan 2026 08:21:05.310      9.3243006617    Earth           Penumbra    6             2086.1921344
01 Jan 2026 08:21:05.310    01 Jan 2026 08:55:32.954      2067.6442042    Earth           Umbra       6             2086.1921344
01 Jan 2026 08:55:32.954    01 Jan 2026 08:55:42.178      9.2236294993    Earth           Penumbra    6             2086.1921344
01 Jan 2026 09:56:13.441    01 Jan 2026 09:56:22.764      9.3236022396    Earth           Penumbra    7             2076.9925986
01 Jan 2026 09:56:22.764    01 Jan 2026 10:30:50.433      2067.6689963    Earth           Umbra       7             2076.9925986
01 Jan 2026 11:31:30.772    01 Jan 2026 11:31:40.095      9.3225863529    Earth           Penumbra    8             2086.2254892
01 Jan 2026 11:31:40.095    01 Jan 2026 12:06:07.776      2067.6807076    Earth           Umbra       8             2086.2254892
01 Jan 2026 12:06:07.776    01 Jan 2026 12:06:16.998      9.2221952509    Earth           Penumbra    8             2086.2254892
01 Jan 2026 13:06:48.047    01 Jan 2026 13:06:57.369      9.3216465320    Earth           Penumbra    9             2086.2386816
01 Jan 2026 13:06:57.369    01 Jan 2026 13:41:25.064      2067.6954587    Earth           Umbra       9             2086.2386816
01 Jan 2026 13:41:25.064    01 Jan 2026 13:41:34.286      9.2215763521    Earth           Penumbra    9             2086.2386816
01 Jan 2026 14:42:05.358    01 Jan 2026 14:42:14.679      9.3210474355    Earth           Penumbra    10            2086.2646125
01 Jan 2026 14:42:14.679    01 Jan 2026 15:16:42.402      2067.7225416    Earth           Umbra       10            2086.2646125
01 Jan 2026 15:16:42.402    01 Jan 2026 15:16:51.623      9.2210234609    Earth           Penumbra    10            2086.2646125
01 Jan 2026 16:17:22.719    01 Jan 2026 16:17:32.039      9.3207023107    Earth           Penumbra    11            2086.2925117
01 Jan 2026 16:17:32.039    01 Jan 2026 16:51:59.791      2067.7513259    Earth           Umbra       11            2086.2925117
01 Jan 2026 16:51:59.791    01 Jan 2026 16:52:09.011      9.2204834567    Earth           Penumbra    11            2086.2925117
01 Jan 2026 17:52:49.424    01 Jan 2026 18:27:17.195      2067.7711536    Earth           Umbra       12            2076.9912115
01 Jan 2026 18:27:17.195    01 Jan 2026 18:27:26.415      9.2200578656    Earth           Penumbra    12            2076.9912115
01 Jan 2026 19:27:57.505    01 Jan 2026 19:28:06.825      9.3199278228    Earth           Penumbra    13            2086.3317921
01 Jan 2026 19:28:06.825    01 Jan 2026 20:02:34.617      2067.7920057    Earth           Umbra       13            2086.3317921
01 Jan 2026 20:02:34.617    01 Jan 2026 20:02:43.837      9.2198585859    Earth           Penumbra    13            2086.3317921
01 Jan 2026 21:03:14.918    01 Jan 2026 21:03:24.238      9.3195097754    Earth           Penumbra    14            2086.3695613
01 Jan 2026 21:03:24.238    01 Jan 2026 21:37:52.068      2067.8302815    Earth           Umbra       14            2086.3695613
01 Jan 2026 21:37:52.068    01 Jan 2026 21:38:01.288      9.2197699472    Earth           Penumbra    14            2086.3695613
01 Jan 2026 22:38:32.328    01 Jan 2026 22:38:41.647      9.3192448025    Earth           Penumbra    15            2086.4200667
01 Jan 2026 22:38:41.647    01 Jan 2026 23:13:09.528      2067.8813163    Earth           Umbra       15            2086.4200667
01 Jan 2026 23:13:09.528    01 Jan 2026 23:13:18.748      9.2195056030    Earth           Penumbra    15            2086.4200667

Number of individual events : 42
Number of total events      : 15
Maximum duration (s)        :   2086.4200667
Maximum duration at the 15th eclipse.


