Spacecraft: ASC_80_24

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
01 Jan 2026 00:48:39.813    01 Jan 2026 00:48:49.226      9.4136040774    Earth           Penumbra    1             2083.6958805
01 Jan 2026 00:48:49.226    01 Jan 2026 01:23:14.220      2064.9932835    Earth           Umbra       1             2083.6958805
01 Jan 2026 01:23:14.220    01 Jan 2026 01:23:23.509      9.2889929423    Earth           Penumbra    1             2083.6958805
01 Jan 2026 02:24:29.942    01 Jan 2026 02:58:54.942      2064.9998390    Earth           Umbra       2             2074.2877117
01 Jan 2026 02:58:54.942    01 Jan 2026 02:59:04.229      9.2878727010    Earth           Penumbra    2             2074.2877117
01 Jan 2026 04:00:01.228    01 Jan 2026 04:00:10.639      9.4114456326    Earth           Penumbra    3             2083.6988235
01 Jan 2026 04:00:10.639    01 Jan 2026 04:34:35.640      2065.0005274    Earth           Umbra       3             2083.6988235
01 Jan 2026 04:34:35.640    01 Jan 2026 04:34:44.926      9.2868505279    Earth           Penumbra    3             2083.6988235
01 Jan 2026 05:35:41.975    01 Jan 2026 05:35:51.386      9.4104910386    Earth           Penumbra    4             2083.7119301
01 Jan 2026 05:35:51.386    01 Jan 2026 06:10:16.401      2065.0154246    Earth           Umbra       4             2083.7119301
01 Jan 2026 06:10:16.401    01 Jan 2026 06:10:25.687      9.2860144330    Earth           Penumbra    4             2083.7119301
01 Jan 2026 07:11:22.824    01 Jan 2026 07:11:32.234      9.4098991714    Earth           Penumbra    5             2083.7421040
01 Jan 2026 07:11:32.234    01 Jan 2026 07:45:57.281      2065.0469661    Earth           Umbra       5             2083.7421040
01 Jan 2026 07:45:57.281    01 Jan 2026 07:46:06.566      9.2852386879    Earth           Penumbra    5             2083.7421040
01 Jan 2026 08:47:03.711    01 Jan 2026 08:47:13.120      9.4092702144    Earth           Penumbra    6             2083.7722499
01 Jan 2026 08:47:13.120    01 Jan 2026 09:21:38.199      2065.0786284    Earth           Umbra       6             2083.7722499
01 Jan 2026 09:21:38.199    01 Jan 2026 09:21:47.483      9.2843513587    Earth           Penumbra    6             2083.7722499
01 Jan 2026 10:22:44.509    01 Jan 2026 10:22:53.917      9.4082612428    Earth           Penumbra    7             2083.7867725
01 Jan 2026 10:22:53.917    01 Jan 2026 10:57:19.013      2065.0951648    Earth           Umbra       7             2083.7867725
01 Jan 2026 10:57:19.013    01 Jan 2026 10:57:28.296      9.2833464732    Earth           Penumbra    7             2083.7867725
01 Jan 2026 11:58:25.192    01 Jan 2026 11:58:34.599      9.4070316176    Earth           Penumbra    8             2083.7913204
01 Jan 2026 11:58:34.599    01 Jan 2026 12:32:59.701      2065.1019127    Earth           Umbra       8             2083.7913204
01 Jan 2026 12:32:59.701    01 Jan 2026 12:33:08.983      9.2823761632    Earth           Penumbra    8             2083.7913204
01 Jan 2026 13:34:05.847    01 Jan 2026 13:34:15.253      9.4059817842    Earth           Penumbra    9             2074.5223438
01 Jan 2026 13:34:15.253    01 Jan 2026 14:08:40.370      2065.1163620    Earth           Umbra       9             2074.5223438
01 Jan 2026 15:09:46.551    01 Jan 2026 15:09:55.956      9.4052751898    Earth           Penumbra    10            2083.8281287
01 Jan 2026 15:09:55.956    01 Jan 2026 15:44:21.098      2065.1421606    Earth           Umbra       10            2083.8281287
01 Jan 2026 15:44:21.098    01 Jan 2026 15:44:30.379      9.2806929722    Earth           Penumbra    10            2083.8281287
01 Jan 2026 16:45:27.297    01 Jan 2026 16:45:36.701      9.4047474442    Earth           Penumbra    11            2083.8502076
01 Jan 2026 16:45:36.701    01 Jan 2026 17:20:01.867      2065.1655656    Earth           Umbra       11            2083.8502076
01 Jan 2026 17:20:01.867    01 Jan 2026 17:20:11.147      9.2798945960    Earth           Penumbra    11            2083.8502076
01 Jan 2026 18:21:08.062    01 Jan 2026 18:21:17.466      9.4041747507    Earth           Penumbra    12            2083.8641817
01 Jan 2026 18:21:17.466    01 Jan 2026 18:55:42.647      2065.1807523    Earth           Umbra       12            2083.8641817
01 Jan 2026 18:55:42.647    01 Jan 2026 18:55:51.926      9.2792546377    Earth           Penumbra    12            2083.8641817
01 Jan 2026 19:56:48.845    01 Jan 2026 19:56:58.249      9.4035184477    Earth           Penumbra    13            2083.8844064
01 Jan 2026 19:56:58.249    01 Jan 2026 20:31:23.451      2065.2020548    Earth           Umbra       13            2083.8844064
01 Jan 2026 20:31:23.451    01 Jan 2026 20:31:32.730      9.2788331327    Earth           Penumbra    13            2083.8844064
01 Jan 2026 21:32:29.637    01 Jan 2026 21:32:39.040      9.4029344385    Earth           Penumbra    14            2083.9229746
01 Jan 2026 21:32:39.040    01 Jan 2026 22:07:04.281      2065.2416005    Earth           Umbra       14            2083.9229746
01 Jan 2026 22:07:04.281    01 Jan 2026 22:07:13.560      9.2784396023    Earth           Penumbra    14            2083.9229746
01 Jan 2026 23:08:19.820    01 Jan 2026 23:42:45.108      2065.2876653    Earth           Umbra       15            2074.5654668
01 Jan 2026 23:42:45.108    01 Jan 2026 23:42:54.386      9.2778015300    Earth           Penumbra    15            2074.5654668

Number of individual events : 42
Number of total events      : 15
Maximum duration (s)        :   2083.9229746
Maximum duration at the 14th eclipse.


