Spacecraft: ASC_074_06

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
03 Jul 2026 00:00:00.000    03 Jul 2026 00:32:07.939      1927.9387749    Earth           Umbra       1             1937.4214099
03 Jul 2026 00:32:07.939    03 Jul 2026 00:32:17.421      9.4826350221    Earth           Penumbra    1             1937.4214099
03 Jul 2026 01:33:18.150    03 Jul 2026 01:33:27.669      9.5194794587    Earth           Penumbra    2             2062.2626616
03 Jul 2026 01:33:27.669    03 Jul 2026 02:07:30.937      2043.2677167    Earth           Umbra       2             2062.2626616
03 Jul 2026 02:07:30.937    03 Jul 2026 02:07:40.413      9.4754653517    Earth           Penumbra    2             2062.2626616
03 Jul 2026 03:08:40.741    03 Jul 2026 03:08:50.255      9.5137358643    Earth           Penumbra    3             2062.6637994
03 Jul 2026 03:08:50.255    03 Jul 2026 03:42:53.937      2043.6818465    Earth           Umbra       3             2062.6637994
03 Jul 2026 03:42:53.937    03 Jul 2026 03:43:03.405      9.4682171009    Earth           Penumbra    3             2062.6637994
03 Jul 2026 04:44:03.254    03 Jul 2026 04:44:12.762      9.5078373095    Earth           Penumbra    4             2063.0787813
03 Jul 2026 04:44:12.762    03 Jul 2026 05:18:16.872      2044.1098748    Earth           Umbra       4             2063.0787813
03 Jul 2026 05:18:16.872    03 Jul 2026 05:18:26.333      9.4610691187    Earth           Penumbra    4             2063.0787813
03 Jul 2026 06:19:25.662    03 Jul 2026 06:19:35.164      9.5016530366    Earth           Penumbra    5             2063.5066053
03 Jul 2026 06:19:35.164    03 Jul 2026 06:53:39.715      2044.5510830    Earth           Umbra       5             2063.5066053
03 Jul 2026 06:53:39.715    03 Jul 2026 06:53:49.169      9.4538692734    Earth           Penumbra    5             2063.5066053
03 Jul 2026 07:54:48.014    03 Jul 2026 07:54:57.509      9.4952889718    Earth           Penumbra    6             2063.9543436
03 Jul 2026 07:54:57.509    03 Jul 2026 08:29:02.522      2045.0125536    Earth           Umbra       6             2063.9543436
03 Jul 2026 08:29:02.522    03 Jul 2026 08:29:11.968      9.4465009519    Earth           Penumbra    6             2063.9543436
03 Jul 2026 09:30:19.880    03 Jul 2026 10:04:25.385      2045.5045282    Earth           Umbra       7             2054.9436662
03 Jul 2026 10:04:25.385    03 Jul 2026 10:04:34.824      9.4391379738    Earth           Penumbra    7             2054.9436662
03 Jul 2026 11:05:32.828    03 Jul 2026 11:05:42.311      9.4828915084    Earth           Penumbra    8             2064.9342379
03 Jul 2026 11:05:42.311    03 Jul 2026 11:39:48.331      2046.0194253    Earth           Umbra       8             2064.9342379
03 Jul 2026 11:39:48.331    03 Jul 2026 11:39:57.763      9.4319211552    Earth           Penumbra    8             2064.9342379
03 Jul 2026 12:40:55.276    03 Jul 2026 12:41:04.752      9.4765195856    Earth           Penumbra    9             2065.4340413
03 Jul 2026 12:41:04.752    03 Jul 2026 13:15:11.285      2046.5329239    Earth           Umbra       9             2065.4340413
03 Jul 2026 13:15:11.285    03 Jul 2026 13:15:20.710      9.4245977816    Earth           Penumbra    9             2065.4340413
03 Jul 2026 14:16:17.669    03 Jul 2026 14:16:27.138      9.4696658081    Earth           Penumbra    10            2065.9202185
03 Jul 2026 14:16:27.138    03 Jul 2026 14:50:34.172      2047.0337469    Earth           Umbra       10            2065.9202185
03 Jul 2026 14:50:34.172    03 Jul 2026 14:50:43.589      9.4168057549    Earth           Penumbra    10            2065.9202185
03 Jul 2026 15:51:49.472    03 Jul 2026 16:25:57.009      2047.5374368    Earth           Umbra       11            2056.9459832
03 Jul 2026 16:25:57.009    03 Jul 2026 16:26:06.418      9.4085463323    Earth           Penumbra    11            2056.9459832
03 Jul 2026 17:27:02.345    03 Jul 2026 17:27:11.801      9.4554628828    Earth           Penumbra    12            2066.9201219
03 Jul 2026 17:27:11.801    03 Jul 2026 18:01:19.865      2048.0645073    Earth           Umbra       12            2066.9201219
03 Jul 2026 18:01:19.865    03 Jul 2026 18:01:29.265      9.4001517515    Earth           Penumbra    12            2066.9201219
03 Jul 2026 19:02:24.690    03 Jul 2026 19:02:34.138      9.4485647860    Earth           Penumbra    13            2067.4586069
03 Jul 2026 19:02:34.138    03 Jul 2026 19:36:42.757      2048.6181881    Earth           Umbra       13            2067.4586069
03 Jul 2026 19:36:42.757    03 Jul 2026 19:36:52.148      9.3918539817    Earth           Penumbra    13            2067.4586069
03 Jul 2026 20:37:47.019    03 Jul 2026 20:37:56.460      9.4415620202    Earth           Penumbra    14            2068.0123723
03 Jul 2026 20:37:56.460    03 Jul 2026 21:12:05.647      2049.1872569    Earth           Umbra       14            2068.0123723
03 Jul 2026 21:12:05.647    03 Jul 2026 21:12:15.031      9.3835533829    Earth           Penumbra    14            2068.0123723
03 Jul 2026 22:13:09.330    03 Jul 2026 22:13:18.764      9.4341415213    Earth           Penumbra    15            2068.5679300
03 Jul 2026 22:13:18.764    03 Jul 2026 22:47:28.523      2049.7588277    Earth           Umbra       15            2068.5679300
03 Jul 2026 22:47:28.523    03 Jul 2026 22:47:37.898      9.3749607797    Earth           Penumbra    15            2068.5679300
03 Jul 2026 23:48:31.659    03 Jul 2026 23:48:41.086      9.4262504834    Earth           Penumbra    16            688.34068308
03 Jul 2026 23:48:41.086    04 Jul 2026 00:00:00.000      678.91443260    Earth           Umbra       16            688.34068308

Number of individual events : 44
Number of total events      : 16
Maximum duration (s)        :   2068.5679300
Maximum duration at the 15th eclipse.


