Spacecraft: ASC_074_09

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
03 Jul 2026 00:41:58.735    03 Jul 2026 01:17:06.482      2107.7468024    Earth           Umbra       1             2116.3477462
03 Jul 2026 01:17:06.482    03 Jul 2026 01:17:15.083      8.6009437800    Earth           Penumbra    1             2116.3477462
03 Jul 2026 02:17:04.503    03 Jul 2026 02:17:13.020      8.5176498746    Earth           Penumbra    2             2115.6697629
03 Jul 2026 02:17:13.020    03 Jul 2026 02:52:20.173      2107.1521130    Earth           Umbra       2             2115.6697629
03 Jul 2026 03:52:18.859    03 Jul 2026 03:52:27.386      8.5266171489    Earth           Penumbra    3             2123.6857530
03 Jul 2026 03:52:27.386    03 Jul 2026 04:27:33.926      2106.5402754    Earth           Umbra       3             2123.6857530
03 Jul 2026 04:27:33.926    03 Jul 2026 04:27:42.545      8.6188604124    Earth           Penumbra    3             2123.6857530
03 Jul 2026 05:27:33.293    03 Jul 2026 05:27:41.829      8.5356802912    Earth           Penumbra    4             2123.0772526
03 Jul 2026 05:27:41.829    03 Jul 2026 06:02:47.742      2105.9137132    Earth           Umbra       4             2123.0772526
03 Jul 2026 06:02:47.742    03 Jul 2026 06:02:56.370      8.6278591189    Earth           Penumbra    4             2123.0772526
03 Jul 2026 07:02:47.747    03 Jul 2026 07:02:56.292      8.5447770660    Earth           Penumbra    5             2122.4556962
03 Jul 2026 07:02:56.292    03 Jul 2026 07:38:01.566      2105.2739664    Earth           Umbra       5             2122.4556962
03 Jul 2026 07:38:01.566    03 Jul 2026 07:38:10.203      8.6369527504    Earth           Penumbra    5             2122.4556962
03 Jul 2026 08:38:02.166    03 Jul 2026 08:38:10.720      8.5537720006    Earth           Penumbra    6             2121.8170839
03 Jul 2026 08:38:10.720    03 Jul 2026 09:13:15.337      2104.6173139    Earth           Umbra       6             2121.8170839
03 Jul 2026 09:13:15.337    03 Jul 2026 09:13:23.983      8.6459979764    Earth           Penumbra    6             2121.8170839
03 Jul 2026 10:13:16.538    03 Jul 2026 10:13:25.101      8.5626892978    Earth           Penumbra    7             2121.1630968
03 Jul 2026 10:13:25.101    03 Jul 2026 10:48:29.046      2103.9454466    Earth           Umbra       7             2121.1630968
03 Jul 2026 10:48:29.046    03 Jul 2026 10:48:37.701      8.6549608503    Earth           Penumbra    7             2121.1630968
03 Jul 2026 11:48:39.469    03 Jul 2026 12:23:42.739      2103.2701272    Earth           Umbra       8             2111.9342272
03 Jul 2026 12:23:42.739    03 Jul 2026 12:23:51.403      8.6641000584    Earth           Penumbra    8             2111.9342272
03 Jul 2026 13:23:45.303    03 Jul 2026 13:23:53.884      8.5810192628    Earth           Penumbra    9             2119.8514953
03 Jul 2026 13:23:53.884    03 Jul 2026 13:58:56.481      2102.5968156    Earth           Umbra       9             2119.8514953
03 Jul 2026 13:58:56.481    03 Jul 2026 13:59:05.154      8.6736604571    Earth           Penumbra    9             2119.8514953
03 Jul 2026 14:58:59.788    03 Jul 2026 14:59:08.378      8.5903942119    Earth           Penumbra    10            2110.5048964
03 Jul 2026 14:59:08.378    03 Jul 2026 15:34:10.293      2101.9145022    Earth           Umbra       10            2110.5048964
03 Jul 2026 16:34:14.327    03 Jul 2026 16:34:22.926      8.5997289279    Earth           Penumbra    11            2118.5060575
03 Jul 2026 16:34:22.926    03 Jul 2026 17:09:24.139      2101.2130984    Earth           Umbra       11            2118.5060575
03 Jul 2026 17:09:24.139    03 Jul 2026 17:09:32.833      8.6932301056    Earth           Penumbra    11            2118.5060575
03 Jul 2026 18:09:28.867    03 Jul 2026 18:09:37.477      8.6090872181    Earth           Penumbra    12            2117.8124382
03 Jul 2026 18:09:37.477    03 Jul 2026 18:44:37.977      2100.5006017    Earth           Umbra       12            2117.8124382
03 Jul 2026 18:44:37.977    03 Jul 2026 18:44:46.680      8.7027493282    Earth           Penumbra    12            2117.8124382
03 Jul 2026 19:44:43.397    03 Jul 2026 19:44:52.015      8.6186699336    Earth           Penumbra    13            2117.1238475
03 Jul 2026 19:44:52.015    03 Jul 2026 20:19:51.808      2099.7928005    Earth           Umbra       13            2117.1238475
03 Jul 2026 20:19:51.808    03 Jul 2026 20:20:00.521      8.7123769918    Earth           Penumbra    13            2117.1238475
03 Jul 2026 21:19:57.934    03 Jul 2026 21:20:06.563      8.6286370642    Earth           Penumbra    14            2116.4463124
03 Jul 2026 21:20:06.563    03 Jul 2026 21:55:05.658      2099.0952243    Earth           Umbra       14            2116.4463124
03 Jul 2026 21:55:05.658    03 Jul 2026 21:55:14.380      8.7224509916    Earth           Penumbra    14            2116.4463124
03 Jul 2026 22:55:12.484    03 Jul 2026 22:55:21.123      8.6389776086    Earth           Penumbra    15            2115.7744171
03 Jul 2026 22:55:21.123    03 Jul 2026 23:30:19.525      2098.4024987    Earth           Umbra       15            2115.7744171
03 Jul 2026 23:30:19.525    03 Jul 2026 23:30:28.258      8.7329408387    Earth           Penumbra    15            2115.7744171

Number of individual events : 41
Number of total events      : 15
Maximum duration (s)        :   2123.6857530
Maximum duration at the 3rd eclipse.


