Spacecraft: ASC_074_40

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
03 Jul 2026 00:00:00.000    03 Jul 2026 00:28:36.735      1716.7352292    Earth           Umbra       1             1730.0882789
03 Jul 2026 00:28:36.735    03 Jul 2026 00:28:50.088      13.353049743    Earth           Penumbra    1             1730.0882789
03 Jul 2026 01:34:25.853    03 Jul 2026 01:34:39.231      13.378754945    Earth           Penumbra    2             1782.2230922
03 Jul 2026 01:34:39.231    03 Jul 2026 02:03:54.618      1755.3864950    Earth           Umbra       2             1782.2230922
03 Jul 2026 02:03:54.618    03 Jul 2026 02:04:08.076      13.457842288    Earth           Penumbra    2             1782.2230922
03 Jul 2026 03:09:50.507    03 Jul 2026 03:10:03.991      13.483908016    Earth           Penumbra    3             1775.6375711
03 Jul 2026 03:10:03.991    03 Jul 2026 03:39:12.579      1748.5883326    Earth           Umbra       3             1775.6375711
03 Jul 2026 03:39:12.579    03 Jul 2026 03:39:26.144      13.565330452    Earth           Penumbra    3             1775.6375711
03 Jul 2026 04:45:15.264    03 Jul 2026 04:45:28.856      13.591542968    Earth           Penumbra    4             1768.9373173
03 Jul 2026 04:45:28.856    03 Jul 2026 05:14:30.526      1741.6703006    Earth           Umbra       4             1768.9373173
03 Jul 2026 05:14:30.526    03 Jul 2026 05:14:44.202      13.675473689    Earth           Penumbra    4             1768.9373173
03 Jul 2026 06:20:39.992    03 Jul 2026 06:20:53.693      13.701140857    Earth           Penumbra    5             1762.1517931
03 Jul 2026 06:20:53.693    03 Jul 2026 06:49:48.355      1734.6627902    Earth           Umbra       5             1762.1517931
03 Jul 2026 06:49:48.355    03 Jul 2026 06:50:02.143      13.787862123    Earth           Penumbra    5             1762.1517931
03 Jul 2026 07:56:04.700    03 Jul 2026 07:56:18.513      13.812319469    Earth           Penumbra    6             1755.2830738
03 Jul 2026 07:56:18.513    03 Jul 2026 08:25:06.082      1727.5687502    Earth           Umbra       6             1755.2830738
