Spacecraft: ASC_074_02

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
03 Jul 2026 00:45:37.326    03 Jul 2026 00:45:46.828      9.5021773246    Earth           Penumbra    1             2061.3071114
03 Jul 2026 00:45:46.828    03 Jul 2026 01:19:49.175      2042.3463223    Earth           Umbra       1             2061.3071114
03 Jul 2026 01:19:49.175    03 Jul 2026 01:19:58.633      9.4586117542    Earth           Penumbra    1             2061.3071114
03 Jul 2026 02:20:59.971    03 Jul 2026 02:21:09.467      9.4964965945    Earth           Penumbra    2             2061.7002919
03 Jul 2026 02:21:09.467    03 Jul 2026 02:55:12.219      2042.7523972    Earth           Umbra       2             2061.7002919
03 Jul 2026 02:55:12.219    03 Jul 2026 02:55:21.671      9.4513980788    Earth           Penumbra    2             2061.7002919
03 Jul 2026 03:56:22.570    03 Jul 2026 03:56:32.061      9.4907093095    Earth           Penumbra    3             2062.1067314
03 Jul 2026 03:56:32.061    03 Jul 2026 04:30:35.232      2043.1717796    Earth           Umbra       3             2062.1067314
03 Jul 2026 04:30:35.232    03 Jul 2026 04:30:44.677      9.4442425529    Earth           Penumbra    3             2062.1067314
03 Jul 2026 05:31:45.069    03 Jul 2026 05:31:54.554      9.4846900553    Earth           Penumbra    4             2062.5262238
03 Jul 2026 05:31:54.554    03 Jul 2026 06:05:58.158      2043.6043974    Earth           Umbra       4             2062.5262238
03 Jul 2026 06:05:58.158    03 Jul 2026 06:06:07.595      9.4371363753    Earth           Penumbra    4             2062.5262238
03 Jul 2026 07:07:07.479    03 Jul 2026 07:07:16.958      9.4783982844    Earth           Penumbra    5             2062.9606043
03 Jul 2026 07:07:16.958    03 Jul 2026 07:41:21.010      2044.0523166    Earth           Umbra       5             2062.9606043
03 Jul 2026 07:41:21.010    03 Jul 2026 07:41:30.440      9.4298893819    Earth           Penumbra    5             2062.9606043
03 Jul 2026 08:42:29.875    03 Jul 2026 08:42:39.347      9.4720766530    Earth           Penumbra    6             2063.4210439
03 Jul 2026 08:42:39.347    03 Jul 2026 09:16:43.873      2044.5264321    Earth           Umbra       6             2063.4210439
03 Jul 2026 09:16:43.873    03 Jul 2026 09:16:53.296      9.4225352048    Earth           Penumbra    6             2063.4210439
03 Jul 2026 10:17:52.324    03 Jul 2026 10:18:01.790      9.4659234979    Earth           Penumbra    7             2063.9114843
03 Jul 2026 10:18:01.790    03 Jul 2026 10:52:06.820      2045.0302675    Earth           Umbra       7             2063.9114843
03 Jul 2026 10:52:06.820    03 Jul 2026 10:52:16.235      9.4152932405    Earth           Penumbra    7             2063.9114843
03 Jul 2026 11:53:14.816    03 Jul 2026 11:53:24.276      9.4597385963    Earth           Penumbra    8             2064.4132000
03 Jul 2026 11:53:24.276    03 Jul 2026 12:27:29.821      2045.5453422    Earth           Umbra       8             2064.4132000
03 Jul 2026 12:27:29.821    03 Jul 2026 12:27:39.229      9.4081191695    Earth           Penumbra    8             2064.4132000
03 Jul 2026 13:28:37.281    03 Jul 2026 13:28:46.735      9.4531491632    Earth           Penumbra    9             2064.9037748
03 Jul 2026 13:28:46.735    03 Jul 2026 14:02:52.784      2046.0499877    Earth           Umbra       9             2064.9037748
03 Jul 2026 14:02:52.784    03 Jul 2026 14:03:02.185      9.4006380066    Earth           Penumbra    9             2064.9037748
03 Jul 2026 15:03:59.684    03 Jul 2026 15:04:09.130      9.4461247092    Earth           Penumbra    10            2065.3859206
03 Jul 2026 15:04:09.130    03 Jul 2026 15:38:15.677      2046.5471671    Earth           Umbra       10            2065.3859206
03 Jul 2026 15:38:15.677    03 Jul 2026 15:38:25.069      9.3926287838    Earth           Penumbra    10            2065.3859206
03 Jul 2026 16:39:22.057    03 Jul 2026 16:39:31.496      9.4390087877    Earth           Penumbra    11            2065.8820159
03 Jul 2026 16:39:31.496    03 Jul 2026 17:13:38.555      2047.0587065    Earth           Umbra       11            2065.8820159
03 Jul 2026 17:13:38.555    03 Jul 2026 17:13:47.939      9.3843005248    Earth           Penumbra    11            2065.8820159
03 Jul 2026 18:14:44.439    03 Jul 2026 18:14:53.871      9.4320682576    Earth           Penumbra    12            2066.4057406
03 Jul 2026 18:14:53.871    03 Jul 2026 18:49:01.469      2047.5976791    Earth           Umbra       12            2066.4057406
03 Jul 2026 18:49:01.469    03 Jul 2026 18:49:10.845      9.3759933254    Earth           Penumbra    12            2066.4057406
03 Jul 2026 19:50:06.819    03 Jul 2026 19:50:16.245      9.4251871342    Earth           Penumbra    13            2066.9515019
03 Jul 2026 19:50:16.245    03 Jul 2026 20:24:24.403      2048.1585466    Earth           Umbra       13            2066.9515019
03 Jul 2026 20:24:24.403    03 Jul 2026 20:24:33.771      9.3677681638    Earth           Penumbra    13            2066.9515019
03 Jul 2026 21:25:29.177    03 Jul 2026 21:25:38.595      9.4180284650    Earth           Penumbra    14            2067.5053292
03 Jul 2026 21:25:38.595    03 Jul 2026 21:59:47.323      2048.7278976    Earth           Umbra       14            2067.5053292
03 Jul 2026 21:59:47.323    03 Jul 2026 21:59:56.683      9.3594031292    Earth           Penumbra    14            2067.5053292
03 Jul 2026 23:00:51.534    03 Jul 2026 23:01:00.944      9.4103851123    Earth           Penumbra    15            2058.7057114
03 Jul 2026 23:01:00.944    03 Jul 2026 23:35:10.239      2049.2953263    Earth           Umbra       15            2058.7057114

Number of individual events : 44
Number of total events      : 15
Maximum duration (s)        :   2067.5053292
Maximum duration at the 14th eclipse.


