Spacecraft: ASC_074_33

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
03 Jul 2026 00:00:00.000    03 Jul 2026 00:16:43.182      1003.1824827    Earth           Umbra       1             1016.5627228
03 Jul 2026 00:16:43.182    03 Jul 2026 00:16:56.563      13.380240113    Earth           Penumbra    1             1016.5627228
03 Jul 2026 01:22:22.216    03 Jul 2026 01:22:35.618      13.401987380    Earth           Penumbra    2             1785.3360751
03 Jul 2026 01:22:35.618    03 Jul 2026 01:51:54.066      1758.4486584    Earth           Umbra       2             1785.3360751
03 Jul 2026 01:51:54.066    03 Jul 2026 01:52:07.552      13.485429331    Earth           Penumbra    2             1785.3360751
03 Jul 2026 02:57:39.877    03 Jul 2026 02:57:53.384      13.507524866    Earth           Penumbra    3             1778.7494001
03 Jul 2026 02:57:53.384    03 Jul 2026 03:27:05.033      1751.6485541    Earth           Umbra       3             1778.7494001
03 Jul 2026 03:27:05.033    03 Jul 2026 03:27:18.626      13.593321084    Earth           Penumbra    3             1778.7494001
03 Jul 2026 04:32:57.662    03 Jul 2026 04:33:11.278      13.615616213    Earth           Penumbra    4             1772.0430661
03 Jul 2026 04:33:11.278    03 Jul 2026 05:02:16.001      1744.7235266    Earth           Umbra       4             1772.0430661
03 Jul 2026 05:02:16.001    03 Jul 2026 05:02:29.705      13.703923230    Earth           Penumbra    4             1772.0430661
03 Jul 2026 06:08:15.428    03 Jul 2026 06:08:29.154      13.725768565    Earth           Penumbra    5             1765.2483798
03 Jul 2026 06:08:29.154    03 Jul 2026 06:37:26.859      1737.7057504    Earth           Umbra       5             1765.2483798
03 Jul 2026 06:37:26.859    03 Jul 2026 06:37:40.676      13.816860784    Earth           Penumbra    5             1765.2483798
03 Jul 2026 07:43:33.165    03 Jul 2026 07:43:47.002      13.837543759    Earth           Penumbra    6             1758.3712580
03 Jul 2026 07:43:47.002    03 Jul 2026 08:12:37.604      1730.6020931    Earth           Umbra       6             1758.3712580
03 Jul 2026 08:12:37.604    03 Jul 2026 08:12:51.536      13.931621087    Earth           Penumbra    6             1758.3712580
03 Jul 2026 09:18:50.986    03 Jul 2026 09:19:04.937      13.951042690    Earth           Penumbra    7             1751.3972913
03 Jul 2026 09:19:04.937    03 Jul 2026 09:47:48.335      1723.3982227    Earth           Umbra       7             1751.3972913
03 Jul 2026 09:47:48.335    03 Jul 2026 09:48:02.383      14.048025920    Earth           Penumbra    7             1751.3972913
03 Jul 2026 10:54:08.966    03 Jul 2026 10:54:23.033      14.066756016    Earth           Penumbra    8             1744.3146854
03 Jul 2026 10:54:23.033    03 Jul 2026 11:22:59.114      1716.0814168    Earth           Umbra       8             1744.3146854
03 Jul 2026 11:22:59.114    03 Jul 2026 11:23:13.281      14.166512503    Earth           Penumbra    8             1744.3146854
03 Jul 2026 12:29:27.081    03 Jul 2026 12:29:41.266      14.185134787    Earth           Penumbra    9             1737.1059369
03 Jul 2026 12:29:41.266    03 Jul 2026 12:58:09.899      1708.6329823    Earth           Umbra       9             1737.1059369
03 Jul 2026 12:58:09.899    03 Jul 2026 12:58:24.187      14.287819806    Earth           Penumbra    9             1737.1059369
03 Jul 2026 14:04:45.296    03 Jul 2026 14:04:59.603      14.306508412    Earth           Penumbra    10            1729.7417132
03 Jul 2026 14:04:59.603    03 Jul 2026 14:33:20.626      1701.0228339    Earth           Umbra       10            1729.7417132
03 Jul 2026 14:33:20.626    03 Jul 2026 14:33:35.038      14.412370906    Earth           Penumbra    10            1729.7417132
03 Jul 2026 15:40:03.618    03 Jul 2026 15:40:18.049      14.431106974    Earth           Penumbra    11            1722.2128278
03 Jul 2026 15:40:18.049    03 Jul 2026 16:08:31.291      1693.2415859    Earth           Umbra       11            1722.2128278
03 Jul 2026 16:08:31.291    03 Jul 2026 16:08:45.831      14.540134999    Earth           Penumbra    11            1722.2128278
