Spacecraft: ASC_074_41

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
03 Jul 2026 00:00:00.000    03 Jul 2026 00:10:00.679      600.67924478    Earth           Umbra       1             600.67924478
03 Jul 2026 01:09:39.404    03 Jul 2026 01:09:47.776      8.3721344825    Earth           Penumbra    2             2142.9278644
03 Jul 2026 01:09:47.776    03 Jul 2026 01:45:14.013      2126.2376044    Earth           Umbra       2             2142.9278644
03 Jul 2026 01:45:14.013    03 Jul 2026 01:45:22.331      8.3181255846    Earth           Penumbra    2             2142.9278644
03 Jul 2026 02:44:52.809    03 Jul 2026 02:45:01.182      8.3732930711    Earth           Penumbra    3             2142.7748892
03 Jul 2026 02:45:01.182    03 Jul 2026 03:20:27.264      2126.0817579    Earth           Umbra       3             2142.7748892
03 Jul 2026 03:20:27.264    03 Jul 2026 03:20:35.584      8.3198383218    Earth           Penumbra    3             2142.7748892
03 Jul 2026 04:20:06.199    03 Jul 2026 04:20:14.574      8.3748024423    Earth           Penumbra    4             2134.2892873
03 Jul 2026 04:20:14.574    03 Jul 2026 04:55:40.488      2125.9144848    Earth           Umbra       4             2134.2892873
03 Jul 2026 05:55:19.664    03 Jul 2026 05:55:28.041      8.3767801523    Earth           Penumbra    5             2142.4355837
03 Jul 2026 05:55:28.041    03 Jul 2026 06:30:53.775      2125.7343856    Earth           Umbra       5             2142.4355837
03 Jul 2026 06:30:53.775    03 Jul 2026 06:31:02.100      8.3244179841    Earth           Penumbra    5             2142.4355837
03 Jul 2026 07:30:33.210    03 Jul 2026 07:30:41.590      8.3791460493    Earth           Penumbra    6             2142.2519012
03 Jul 2026 07:30:41.590    03 Jul 2026 08:06:07.135      2125.5455734    Earth           Umbra       6             2142.2519012
03 Jul 2026 08:06:07.135    03 Jul 2026 08:06:15.462      8.3271818119    Earth           Penumbra    6             2142.2519012
03 Jul 2026 09:05:46.752    03 Jul 2026 09:05:55.133      8.3815889549    Earth           Penumbra    7             2133.7242251
03 Jul 2026 09:05:55.133    03 Jul 2026 09:41:20.476      2125.3426362    Earth           Umbra       7             2133.7242251
03 Jul 2026 10:41:08.606    03 Jul 2026 11:16:33.718      2125.1112617    Earth           Umbra       8             2133.4442538
03 Jul 2026 11:16:33.718    03 Jul 2026 11:16:42.051      8.3329920424    Earth           Penumbra    8             2133.4442538
03 Jul 2026 12:16:13.658    03 Jul 2026 12:16:22.044      8.3861921914    Earth           Penumbra    9             2141.5687690
03 Jul 2026 12:16:22.044    03 Jul 2026 12:51:46.891      2124.8466968    Earth           Umbra       9             2141.5687690
03 Jul 2026 12:51:46.891    03 Jul 2026 12:51:55.226      8.3358800272    Earth           Penumbra    9             2141.5687690
03 Jul 2026 13:51:27.126    03 Jul 2026 13:51:35.515      8.3887513960    Earth           Penumbra    10            2132.9481952
03 Jul 2026 13:51:35.515    03 Jul 2026 14:27:00.075      2124.5594438    Earth           Umbra       10            2132.9481952
03 Jul 2026 15:26:49.028    03 Jul 2026 16:02:13.287      2124.2593549    Earth           Umbra       11            2132.6013900
03 Jul 2026 16:02:13.287    03 Jul 2026 16:02:21.629      8.3420350682    Earth           Penumbra    11            2132.6013900
03 Jul 2026 17:01:54.146    03 Jul 2026 17:02:02.541      8.3949230961    Earth           Penumbra    12            2140.6842542
03 Jul 2026 17:02:02.541    03 Jul 2026 17:37:26.485      2123.9439278    Earth           Umbra       12            2140.6842542
03 Jul 2026 17:37:26.485    03 Jul 2026 17:37:34.830      8.3454033360    Earth           Penumbra    12            2140.6842542
03 Jul 2026 18:37:07.645    03 Jul 2026 18:37:16.044      8.3982426440    Earth           Penumbra    13            2140.3520574
03 Jul 2026 18:37:16.044    03 Jul 2026 19:12:39.649      2123.6048728    Earth           Umbra       13            2140.3520574
03 Jul 2026 19:12:39.649    03 Jul 2026 19:12:47.997      8.3489419660    Earth           Penumbra    13            2140.3520574
03 Jul 2026 20:12:29.565    03 Jul 2026 20:47:52.804      2123.2390433    Earth           Umbra       14            2131.5917348
03 Jul 2026 20:47:52.804    03 Jul 2026 20:48:01.157      8.3526915056    Earth           Penumbra    14            2131.5917348
03 Jul 2026 21:47:34.712    03 Jul 2026 21:47:43.117      8.4049735218    Earth           Penumbra    15            2139.6136693
03 Jul 2026 21:47:43.117    03 Jul 2026 22:23:05.969      2122.8519863    Earth           Umbra       15            2139.6136693
03 Jul 2026 22:23:05.969    03 Jul 2026 22:23:14.325      8.3567094756    Earth           Penumbra    15            2139.6136693
03 Jul 2026 23:22:48.250    03 Jul 2026 23:22:56.659      8.4086705698    Earth           Penumbra    16            2139.2245970
03 Jul 2026 23:22:56.659    03 Jul 2026 23:58:19.114      2122.4549130    Earth           Umbra       16            2139.2245970
03 Jul 2026 23:58:19.114    03 Jul 2026 23:58:27.475      8.3610134781    Earth           Penumbra    16            2139.2245970

Number of individual events : 40
Number of total events      : 16
Maximum duration (s)        :   2142.9278644
Maximum duration at the 2nd eclipse.


