Spacecraft: ASC_074_23

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
03 Jul 2026 00:56:38.046    03 Jul 2026 00:56:47.734      9.6877768636    Earth           Penumbra    1             2035.8969171
03 Jul 2026 00:56:47.734    03 Jul 2026 01:30:24.259      2016.5248555    Earth           Umbra       1             2035.8969171
03 Jul 2026 01:30:24.259    03 Jul 2026 01:30:33.943      9.6842847532    Earth           Penumbra    1             2035.8969171
03 Jul 2026 02:32:03.735    03 Jul 2026 02:32:13.390      9.6550619812    Earth           Penumbra    2             2038.3320059
03 Jul 2026 02:32:13.390    03 Jul 2026 03:05:52.415      2019.0245028    Earth           Umbra       2             2038.3320059
03 Jul 2026 03:05:52.415    03 Jul 2026 03:06:02.067      9.6524411696    Earth           Penumbra    2             2038.3320059
03 Jul 2026 04:07:29.406    03 Jul 2026 04:07:39.029      9.6229430521    Earth           Penumbra    3             2040.7458818
03 Jul 2026 04:07:39.029    03 Jul 2026 04:41:20.531      2021.5016503    Earth           Umbra       3             2040.7458818
03 Jul 2026 04:41:20.531    03 Jul 2026 04:41:30.152      9.6212884644    Earth           Penumbra    3             2040.7458818
03 Jul 2026 05:42:55.093    03 Jul 2026 05:43:04.684      9.5913386671    Earth           Penumbra    4             2043.1250315
03 Jul 2026 05:43:04.684    03 Jul 2026 06:16:48.627      2023.9430293    Earth           Umbra       4             2043.1250315
03 Jul 2026 06:16:48.627    03 Jul 2026 06:16:58.218      9.5906635048    Earth           Penumbra    4             2043.1250315
03 Jul 2026 07:18:20.844    03 Jul 2026 07:18:30.405      9.5603641821    Earth           Penumbra    5             2045.4621413
03 Jul 2026 07:18:30.405    03 Jul 2026 07:52:16.746      2026.3412794    Earth           Umbra       5             2045.4621413
03 Jul 2026 07:52:16.746    03 Jul 2026 07:52:26.306      9.5604977687    Earth           Penumbra    5             2045.4621413
03 Jul 2026 08:53:46.674    03 Jul 2026 08:53:56.204      9.5300412853    Earth           Penumbra    6             2047.7628559
03 Jul 2026 08:53:56.204    03 Jul 2026 09:27:44.906      2028.7020064    Earth           Umbra       6             2047.7628559
03 Jul 2026 09:27:44.906    03 Jul 2026 09:27:54.437      9.5308082295    Earth           Penumbra    6             2047.7628559
03 Jul 2026 10:29:12.545    03 Jul 2026 10:29:22.046      9.5001838985    Earth           Penumbra    7             2050.0289442
03 Jul 2026 10:29:22.046    03 Jul 2026 11:03:13.073      2031.0272043    Earth           Umbra       7             2050.0289442
03 Jul 2026 11:03:13.073    03 Jul 2026 11:03:22.574      9.5015559113    Earth           Penumbra    7             2050.0289442
03 Jul 2026 12:04:38.406    03 Jul 2026 12:04:47.877      9.4705974567    Earth           Penumbra    8             2052.2527031
03 Jul 2026 12:04:47.877    03 Jul 2026 12:38:41.187      2033.3095094    Earth           Umbra       8             2052.2527031
03 Jul 2026 12:38:41.187    03 Jul 2026 12:38:50.659      9.4725962263    Earth           Penumbra    8             2052.2527031
03 Jul 2026 13:40:04.227    03 Jul 2026 13:40:13.669      9.4412766164    Earth           Penumbra    9             2054.4271079
03 Jul 2026 13:40:13.669    03 Jul 2026 14:14:09.211      2035.5419402    Earth           Umbra       9             2054.4271079
03 Jul 2026 14:14:09.211    03 Jul 2026 14:14:18.655      9.4438911416    Earth           Penumbra    9             2054.4271079
03 Jul 2026 15:15:39.426    03 Jul 2026 15:49:37.150      2037.7244683    Earth           Umbra       10            2047.1401107
03 Jul 2026 15:49:37.150    03 Jul 2026 15:49:46.566      9.4156424515    Earth           Penumbra    10            2047.1401107
03 Jul 2026 16:50:55.805    03 Jul 2026 16:51:05.188      9.3838947359    Earth           Penumbra    11            2058.6375401
03 Jul 2026 16:51:05.188    03 Jul 2026 17:25:05.054      2039.8656236    Earth           Umbra       11            2058.6375401
03 Jul 2026 17:25:05.054    03 Jul 2026 17:25:14.442      9.3880217755    Earth           Penumbra    11            2058.6375401
03 Jul 2026 18:26:21.652    03 Jul 2026 18:26:31.008      9.3558616703    Earth           Penumbra    12            2060.6963271
03 Jul 2026 18:26:31.008    03 Jul 2026 19:00:32.987      2041.9795545    Earth           Umbra       12            2060.6963271
03 Jul 2026 19:00:32.987    03 Jul 2026 19:00:42.348      9.3609109288    Earth           Penumbra    12            2060.6963271
03 Jul 2026 20:01:47.565    03 Jul 2026 20:01:56.894      9.3282020185    Earth           Penumbra    13            2062.7340380
03 Jul 2026 20:01:56.894    03 Jul 2026 20:36:00.965      2044.0717228    Earth           Umbra       13            2062.7340380
03 Jul 2026 20:36:00.965    03 Jul 2026 20:36:10.299      9.3341131462    Earth           Penumbra    13            2062.7340380
03 Jul 2026 21:37:13.508    03 Jul 2026 21:37:22.809      9.3010295648    Earth           Penumbra    14            2064.7382048
03 Jul 2026 21:37:22.809    03 Jul 2026 22:11:28.939      2046.1294610    Earth           Umbra       14            2064.7382048
03 Jul 2026 22:11:28.939    03 Jul 2026 22:11:38.246      9.3077142374    Earth           Penumbra    14            2064.7382048
03 Jul 2026 23:12:39.443    03 Jul 2026 23:12:48.717      9.2745772214    Earth           Penumbra    15            2066.6965769
03 Jul 2026 23:12:48.717    03 Jul 2026 23:46:56.857      2048.1400013    Earth           Umbra       15            2066.6965769
03 Jul 2026 23:46:56.857    03 Jul 2026 23:47:06.139      9.2819983489    Earth           Penumbra    15            2066.6965769

Number of individual events : 44
Number of total events      : 15
Maximum duration (s)        :   2066.6965769
Maximum duration at the 15th eclipse.


