Spacecraft: ASC_074_35

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
03 Jul 2026 00:58:47.674    03 Jul 2026 00:59:01.061      13.386930758    Earth           Penumbra    1             1780.6838526
03 Jul 2026 00:59:01.061    03 Jul 2026 01:28:14.897      1753.8363560    Earth           Umbra       1             1780.6838526
03 Jul 2026 01:28:14.897    03 Jul 2026 01:28:28.358      13.460565882    Earth           Penumbra    1             1780.6838526
03 Jul 2026 02:34:19.295    03 Jul 2026 02:34:32.787      13.491920696    Earth           Penumbra    2             1774.0937333
03 Jul 2026 02:34:32.787    03 Jul 2026 03:03:39.821      1747.0339804    Earth           Umbra       2             1774.0937333
03 Jul 2026 03:03:39.821    03 Jul 2026 03:03:53.389      13.567832136    Earth           Penumbra    2             1774.0937333
03 Jul 2026 04:09:51.076    03 Jul 2026 04:10:04.676      13.599533646    Earth           Penumbra    3             1767.3758665
03 Jul 2026 04:10:04.676    03 Jul 2026 04:39:04.774      1740.0984892    Earth           Umbra       3             1767.3758665
03 Jul 2026 04:39:04.774    03 Jul 2026 04:39:18.452      13.677843672    Earth           Penumbra    3             1767.3758665
03 Jul 2026 05:45:22.866    03 Jul 2026 05:45:36.575      13.709348417    Earth           Penumbra    4             1760.5627191
03 Jul 2026 05:45:36.575    03 Jul 2026 06:14:29.638      1733.0630572    Earth           Umbra       4             1760.5627191
03 Jul 2026 06:14:29.638    03 Jul 2026 06:14:43.429      13.790313515    Earth           Penumbra    4             1760.5627191
03 Jul 2026 07:20:54.614    03 Jul 2026 07:21:08.435      13.820859266    Earth           Penumbra    5             1753.6680642
03 Jul 2026 07:21:08.435    03 Jul 2026 07:49:54.378      1725.9424806    Earth           Umbra       5             1753.6680642
03 Jul 2026 07:49:54.378    03 Jul 2026 07:50:08.282      13.904724293    Earth           Penumbra    5             1753.6680642
03 Jul 2026 08:56:26.417    03 Jul 2026 08:56:40.351      13.934029103    Earth           Penumbra    6             1746.6800728
03 Jul 2026 08:56:40.351    03 Jul 2026 09:25:19.076      1718.7252647    Earth           Umbra       6             1746.6800728
03 Jul 2026 09:25:19.076    03 Jul 2026 09:25:33.097      14.020778972    Earth           Penumbra    6             1746.6800728
03 Jul 2026 10:31:58.370    03 Jul 2026 10:32:12.419      14.049302065    Earth           Penumbra    7             1739.5858175
03 Jul 2026 10:32:12.419    03 Jul 2026 11:00:43.817      1711.3977443    Earth           Umbra       7             1739.5858175
03 Jul 2026 11:00:43.817    03 Jul 2026 11:00:57.956      14.138771128    Earth           Penumbra    7             1739.5858175
03 Jul 2026 12:07:30.469    03 Jul 2026 12:07:44.636      14.167156862    Earth           Penumbra    8             1732.3707151
03 Jul 2026 12:07:44.636    03 Jul 2026 12:36:08.580      1703.9441342    Earth           Umbra       8             1732.3707151
03 Jul 2026 12:36:08.580    03 Jul 2026 12:36:22.839      14.259424014    Earth           Penumbra    8             1732.3707151
03 Jul 2026 13:43:02.672    03 Jul 2026 13:43:16.960      14.287943335    Earth           Penumbra    9             1725.0062408
03 Jul 2026 13:43:16.960    03 Jul 2026 14:11:33.295      1696.3350220    Earth           Umbra       9             1725.0062408
03 Jul 2026 14:11:33.295    03 Jul 2026 14:11:47.678      14.383275434    Earth           Penumbra    9             1725.0062408
03 Jul 2026 15:18:34.978    03 Jul 2026 15:18:49.390      14.411922684    Earth           Penumbra    10            1717.4751653
03 Jul 2026 15:18:49.390    03 Jul 2026 15:46:57.943      1688.5528675    Earth           Umbra       10            1717.4751653
03 Jul 2026 15:46:57.943    03 Jul 2026 15:47:12.453      14.510375052    Earth           Penumbra    10            1717.4751653
03 Jul 2026 16:54:07.404    03 Jul 2026 16:54:21.943      14.539175062    Earth           Penumbra    11            1709.7973579
03 Jul 2026 16:54:21.943    03 Jul 2026 17:22:22.560      1680.6175131    Earth           Umbra       11            1709.7973579
03 Jul 2026 17:22:22.560    03 Jul 2026 17:22:37.201      14.640669746    Earth           Penumbra    11            1709.7973579
03 Jul 2026 18:29:39.936    03 Jul 2026 18:29:54.606      14.669662120    Earth           Penumbra    12            1702.0002504
03 Jul 2026 18:29:54.606    03 Jul 2026 18:57:47.162      1672.5561431    Earth           Umbra       12            1702.0002504
03 Jul 2026 18:57:47.162    03 Jul 2026 18:58:01.936      14.774445235    Earth           Penumbra    12            1702.0002504
03 Jul 2026 20:05:12.539    03 Jul 2026 20:05:27.342      14.803557051    Earth           Penumbra    13            1694.0803817
03 Jul 2026 20:05:27.342    03 Jul 2026 20:33:11.707      1664.3647236    Earth           Umbra       13            1694.0803817
03 Jul 2026 20:33:11.707    03 Jul 2026 20:33:26.619      14.912101021    Earth           Penumbra    13            1694.0803817
03 Jul 2026 21:40:45.192    03 Jul 2026 21:41:00.133      14.941295504    Earth           Penumbra    14            1686.0159417
03 Jul 2026 21:41:00.133    03 Jul 2026 22:08:36.154      1656.0209365    Earth           Umbra       14            1686.0159417
03 Jul 2026 22:08:36.154    03 Jul 2026 22:08:51.208      15.053709713    Earth           Penumbra    14            1686.0159417
03 Jul 2026 23:16:17.942    03 Jul 2026 23:16:33.026      15.083172312    Earth           Penumbra    15            1677.7909970
03 Jul 2026 23:16:33.026    03 Jul 2026 23:44:00.534      1647.5087005    Earth           Umbra       15            1677.7909970
03 Jul 2026 23:44:00.534    03 Jul 2026 23:44:15.733      15.199124208    Earth           Penumbra    15            1677.7909970

Number of individual events : 45
Number of total events      : 15
Maximum duration (s)        :   1780.6838526
Maximum duration at the 1st eclipse.


