Spacecraft: ASC_074_44

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
03 Jul 2026 00:34:09.874    03 Jul 2026 01:09:33.904      2124.0302602    Earth           Umbra       1             2132.3369744
03 Jul 2026 01:09:33.904    03 Jul 2026 01:09:42.211      8.3067141473    Earth           Penumbra    1             2132.3369744
03 Jul 2026 02:09:21.923    03 Jul 2026 02:09:30.286      8.3632891648    Earth           Penumbra    2             2140.5496772
03 Jul 2026 02:09:30.286    03 Jul 2026 02:44:54.164      2123.8781237    Earth           Umbra       2             2140.5496772
03 Jul 2026 02:44:54.164    03 Jul 2026 02:45:02.472      8.3082643803    Earth           Penumbra    2             2140.5496772
03 Jul 2026 03:44:42.286    03 Jul 2026 03:44:50.650      8.3646316314    Earth           Penumbra    3             2140.3924537
03 Jul 2026 03:44:50.650    03 Jul 2026 04:20:14.368      2123.7176287    Earth           Umbra       3             2140.3924537
03 Jul 2026 04:20:14.368    03 Jul 2026 04:20:22.678      8.3101933706    Earth           Penumbra    3             2140.3924537
03 Jul 2026 05:20:02.695    03 Jul 2026 05:20:11.061      8.3664015750    Earth           Penumbra    4             2140.2225648
03 Jul 2026 05:20:11.061    03 Jul 2026 05:55:34.605      2123.5436571    Earth           Umbra       4             2140.2225648
03 Jul 2026 05:55:34.605    03 Jul 2026 05:55:42.917      8.3125061472    Earth           Penumbra    4             2140.2225648
03 Jul 2026 06:55:23.196    03 Jul 2026 06:55:31.565      8.3686266560    Earth           Penumbra    5             2140.0435667
03 Jul 2026 06:55:31.565    03 Jul 2026 07:30:54.925      2123.3597964    Earth           Umbra       5             2140.0435667
03 Jul 2026 07:30:54.925    03 Jul 2026 07:31:03.240      8.3151436178    Earth           Penumbra    5             2140.0435667
03 Jul 2026 08:30:43.730    03 Jul 2026 08:30:52.101      8.3710513311    Earth           Penumbra    6             2139.8544288
03 Jul 2026 08:30:52.101    03 Jul 2026 09:06:15.266      2123.1653974    Earth           Umbra       6             2139.8544288
03 Jul 2026 09:06:15.266    03 Jul 2026 09:06:23.584      8.3179800538    Earth           Penumbra    6             2139.8544288
03 Jul 2026 10:06:04.207    03 Jul 2026 10:06:12.580      8.3733829670    Earth           Penumbra    7             2139.6419872
03 Jul 2026 10:06:12.580    03 Jul 2026 10:41:35.528      2122.9477421    Earth           Umbra       7             2139.6419872
03 Jul 2026 10:41:35.528    03 Jul 2026 10:41:43.849      8.3208620665    Earth           Penumbra    7             2139.6419872
03 Jul 2026 11:41:24.625    03 Jul 2026 11:41:33.001      8.3756234497    Earth           Penumbra    8             2139.3959965
03 Jul 2026 11:41:33.001    03 Jul 2026 12:16:55.697      2122.6966597    Earth           Umbra       8             2139.3959965
03 Jul 2026 12:16:55.697    03 Jul 2026 12:17:04.021      8.3237132756    Earth           Penumbra    8             2139.3959965
03 Jul 2026 13:16:45.055    03 Jul 2026 13:16:53.433      8.3780302084    Earth           Penumbra    9             2139.1227792
03 Jul 2026 13:16:53.433    03 Jul 2026 13:52:15.851      2122.4181418    Earth           Umbra       9             2139.1227792
03 Jul 2026 13:52:15.851    03 Jul 2026 13:52:24.178      8.3266072324    Earth           Penumbra    9             2139.1227792
03 Jul 2026 14:52:05.532    03 Jul 2026 14:52:13.913      8.3808053518    Earth           Penumbra    10            2138.8349347
03 Jul 2026 14:52:13.913    03 Jul 2026 15:27:36.037      2122.1244622    Earth           Umbra       10            2138.8349347
03 Jul 2026 15:27:36.037    03 Jul 2026 15:27:44.367      8.3296671510    Earth           Penumbra    10            2138.8349347
03 Jul 2026 16:27:26.024    03 Jul 2026 16:27:34.408      8.3839202765    Earth           Penumbra    11            2138.5345525
03 Jul 2026 16:27:34.408    03 Jul 2026 17:02:56.226      2121.8177028    Earth           Umbra       11            2138.5345525
03 Jul 2026 17:02:56.226    03 Jul 2026 17:03:04.559      8.3329294925    Earth           Penumbra    11            2138.5345525
03 Jul 2026 18:02:46.504    03 Jul 2026 18:02:54.891      8.3871911047    Earth           Penumbra    12            2138.2138008
03 Jul 2026 18:02:54.891    03 Jul 2026 18:38:16.382      2121.4902450    Earth           Umbra       12            2138.2138008
03 Jul 2026 18:38:16.382    03 Jul 2026 18:38:24.718      8.3363647107    Earth           Penumbra    12            2138.2138008
03 Jul 2026 19:38:06.991    03 Jul 2026 19:38:15.381      8.3904745057    Earth           Penumbra    13            2137.8666661
03 Jul 2026 19:38:15.381    03 Jul 2026 20:13:36.517      2121.1362028    Earth           Umbra       13            2137.8666661
03 Jul 2026 20:13:36.517    03 Jul 2026 20:13:44.857      8.3399888361    Earth           Penumbra    13            2137.8666661
03 Jul 2026 21:13:27.509    03 Jul 2026 21:13:35.903      8.3937981399    Earth           Penumbra    14            2137.4956525
03 Jul 2026 21:13:35.903    03 Jul 2026 21:48:56.661      2120.7579918    Earth           Umbra       14            2137.4956525
03 Jul 2026 21:48:56.661    03 Jul 2026 21:49:05.004      8.3438625326    Earth           Penumbra    14            2137.4956525
03 Jul 2026 22:48:48.037    03 Jul 2026 22:48:56.434      8.3973392844    Earth           Penumbra    15            2137.1108480
03 Jul 2026 22:48:56.434    03 Jul 2026 23:24:16.799      2120.3654909    Earth           Umbra       15            2137.1108480
03 Jul 2026 23:24:16.799    03 Jul 2026 23:24:25.147      8.3480178611    Earth           Penumbra    15            2137.1108480

Number of individual events : 44
Number of total events      : 15
Maximum duration (s)        :   2140.5496772
Maximum duration at the 2nd eclipse.


