Spacecraft: ASC_074_12

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
03 Jul 2026 00:06:19.454    03 Jul 2026 00:41:26.848      2107.3938821    Earth           Umbra       1             2116.0053896
03 Jul 2026 00:41:26.848    03 Jul 2026 00:41:35.459      8.6115074926    Earth           Penumbra    1             2116.0053896
03 Jul 2026 01:41:32.330    03 Jul 2026 01:41:40.870      8.5406974889    Earth           Penumbra    2             2123.9599981
03 Jul 2026 01:41:40.870    03 Jul 2026 02:16:47.669      2106.7987296    Earth           Umbra       2             2123.9599981
03 Jul 2026 02:16:47.669    03 Jul 2026 02:16:56.290      8.6205709493    Earth           Penumbra    2             2123.9599981
03 Jul 2026 03:16:53.804    03 Jul 2026 03:17:02.354      8.5496814223    Earth           Penumbra    3             2123.3664984
03 Jul 2026 03:17:02.354    03 Jul 2026 03:52:08.541      2106.1872900    Earth           Umbra       3             2123.3664984
03 Jul 2026 03:52:08.541    03 Jul 2026 03:52:17.171      8.6295269080    Earth           Penumbra    3             2123.3664984
03 Jul 2026 04:52:15.365    03 Jul 2026 04:52:23.923      8.5587392212    Earth           Penumbra    4             2122.7570217
03 Jul 2026 04:52:23.923    03 Jul 2026 05:27:29.483      2105.5597763    Earth           Umbra       4             2122.7570217
03 Jul 2026 05:27:29.483    03 Jul 2026 05:27:38.122      8.6385061266    Earth           Penumbra    4             2122.7570217
03 Jul 2026 06:27:36.970    03 Jul 2026 06:27:45.538      8.5678746575    Earth           Penumbra    5             2113.4869547
03 Jul 2026 06:27:45.538    03 Jul 2026 07:02:50.457      2104.9190800    Earth           Umbra       5             2113.4869547
03 Jul 2026 08:02:58.557    03 Jul 2026 08:03:07.134      8.5769513156    Earth           Penumbra    6             2121.4963987
03 Jul 2026 08:03:07.134    03 Jul 2026 08:38:11.397      2104.2627446    Earth           Umbra       6             2121.4963987
03 Jul 2026 08:38:11.397    03 Jul 2026 08:38:20.053      8.6567028193    Earth           Penumbra    6             2121.4963987
03 Jul 2026 09:38:28.682    03 Jul 2026 10:13:32.271      2103.5889556    Earth           Umbra       7             2112.2546590
03 Jul 2026 10:13:32.271    03 Jul 2026 10:13:40.937      8.6657034117    Earth           Penumbra    7             2112.2546590
03 Jul 2026 11:13:41.605    03 Jul 2026 11:13:50.200      8.5949314409    Earth           Penumbra    8             2120.1765611
03 Jul 2026 11:13:50.200    03 Jul 2026 11:48:53.107      2102.9068666    Earth           Umbra       8             2120.1765611
03 Jul 2026 11:48:53.107    03 Jul 2026 11:49:01.782      8.6747630965    Earth           Penumbra    8             2120.1765611
03 Jul 2026 12:49:03.139    03 Jul 2026 12:49:11.743      8.6041709175    Earth           Penumbra    9             2119.5150388
03 Jul 2026 12:49:11.743    03 Jul 2026 13:24:13.970      2102.2266846    Earth           Umbra       9             2119.5150388
03 Jul 2026 13:24:13.970    03 Jul 2026 13:24:22.654      8.6841833079    Earth           Penumbra    9             2119.5150388
03 Jul 2026 14:24:24.746    03 Jul 2026 14:24:33.360      8.6135716410    Earth           Penumbra    10            2118.8501994
03 Jul 2026 14:24:33.360    03 Jul 2026 14:59:34.903      2101.5426439    Earth           Umbra       10            2118.8501994
03 Jul 2026 14:59:34.903    03 Jul 2026 14:59:43.597      8.6939838482    Earth           Penumbra    10            2118.8501994
03 Jul 2026 15:59:46.423    03 Jul 2026 15:59:55.046      8.6229632492    Earth           Penumbra    11            2118.1680378
03 Jul 2026 15:59:55.046    03 Jul 2026 16:34:55.888      2100.8412622    Earth           Umbra       11            2118.1680378
03 Jul 2026 16:34:55.888    03 Jul 2026 16:35:04.591      8.7038123631    Earth           Penumbra    11            2118.1680378
03 Jul 2026 17:35:08.120    03 Jul 2026 17:35:16.752      8.6323315976    Earth           Penumbra    12            2117.4694658
03 Jul 2026 17:35:16.752    03 Jul 2026 18:10:16.876      2100.1237222    Earth           Umbra       12            2117.4694658
03 Jul 2026 18:10:16.876    03 Jul 2026 18:10:25.589      8.7134120520    Earth           Penumbra    12            2117.4694658
03 Jul 2026 19:10:29.803    03 Jul 2026 19:10:38.445      8.6418461055    Earth           Penumbra    13            2116.7704846
03 Jul 2026 19:10:38.445    03 Jul 2026 19:45:37.851      2099.4056641    Earth           Umbra       13            2116.7704846
03 Jul 2026 19:45:37.851    03 Jul 2026 19:45:46.574      8.7229743367    Earth           Penumbra    13            2116.7704846
03 Jul 2026 20:45:51.487    03 Jul 2026 20:46:00.139      8.6517013377    Earth           Penumbra    14            2116.0821314
03 Jul 2026 20:46:00.139    03 Jul 2026 21:20:58.837      2098.6975402    Earth           Umbra       14            2116.0821314
03 Jul 2026 21:20:58.837    03 Jul 2026 21:21:07.569      8.7328899186    Earth           Penumbra    14            2116.0821314
03 Jul 2026 22:21:13.185    03 Jul 2026 22:21:21.847      8.6619560723    Earth           Penumbra    15            2115.4021151
03 Jul 2026 22:21:21.847    03 Jul 2026 22:56:19.844      2097.9968776    Earth           Umbra       15            2115.4021151
03 Jul 2026 22:56:19.844    03 Jul 2026 22:56:28.587      8.7432813831    Earth           Penumbra    15            2115.4021151
03 Jul 2026 23:56:34.892    03 Jul 2026 23:56:43.564      8.6724820663    Earth           Penumbra    16            205.10804246
03 Jul 2026 23:56:43.564    04 Jul 2026 00:00:00.000      196.43556039    Earth           Umbra       16            205.10804246

Number of individual events : 44
Number of total events      : 16
Maximum duration (s)        :   2123.9599981
Maximum duration at the 2nd eclipse.


